id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
14312458765,100367,2022-01-09 13:00:00-08,395,53.67,2.54,180,306.13,5.7,0.09,0.87,01:00:00
14312459991,100367,2022-01-09 14:00:00-08,367,53.99,2.28,178,284.43,5.27,0.09,0.86,01:00:00
14312461217,100367,2022-01-09 15:00:00-08,422,53.3,2.49,180,327.05,6.14,0.1,0.87,01:00:00
14312462443,100367,2022-01-09 16:00:00-08,431,52.72,2.75,180,334.03,6.34,0.11,0.88,01:00:00
14312463669,100367,2022-01-09 17:00:00-08,314,52.47,1.98,180,243.35,4.64,0.11,0.89,01:00:00
14312464895,100367,2022-01-09 18:00:00-08,233,52.72,1.42,180,180.58,3.43,0.11,0.88,01:00:00
14312466121,100367,2022-01-09 19:00:00-08,259,52.9,1.56,180,200.73,3.79,0.1,0.88,01:00:00
14312467344,100367,2022-01-09 20:00:00-08,273,53.51,1.56,180,211.58,3.95,0.09,0.87,01:00:00
14312468570,100367,2022-01-09 21:00:00-08,172,54.17,0.89,180,133.3,2.46,0.08,0.86,01:00:00
14312469796,100367,2022-01-09 22:00:00-08,106,53.04,0.64,180,82.15,1.55,0.1,0.88,01:00:00
14312471022,100367,2022-01-09 23:00:00-08,81,51.73,0.47,180,62.78,1.21,0.12,0.9,01:00:00
14312472248,100367,2022-01-10 00:00:00-08,53,52.08,0.33,180,41.08,0.79,0.12,0.89,01:00:00
14312473474,100367,2022-01-10 01:00:00-08,44,53.22,0.39,180,34.1,0.64,0.1,0.87,01:00:00
14312474700,100367,2022-01-10 02:00:00-08,32,51.41,0.41,180,24.8,0.48,0.13,0.9,01:00:00
14312475926,100367,2022-01-10 03:00:00-08,40,51.65,0.49,180,31,0.6,0.13,0.9,01:00:00
14312477152,100367,2022-01-10 04:00:00-08,56,52.52,0.41,180,43.4,0.83,0.11,0.89,01:00:00
14312478378,100367,2022-01-10 05:00:00-08,104,53.28,0.84,179,80.6,1.51,0.1,0.87,01:00:00
